model,fz_depth,data_aug,random_state,epoch,n_epoch,date,loss,acc,lr,optim,crit,pred_0_0,pred_0_1,pred_0_2,pred_0_3,pred_1_0,pred_1_1,pred_1_2,pred_1_3,pred_2_0,pred_2_1,pred_2_2,pred_2_3,pred_3_0,pred_3_1,pred_3_2,pred_3_3
AlexNet,10,0,89,1,100,2019-03-31 17:15,0.8708708716220543,0.649077868852459,0.005,sgd,cross_entropy,833,169,55,180,239,1999,281,545,9,66,83,29,388,486,280,2153
AlexNet,10,0,89,2,100,2019-03-31 17:19,0.7017072458736232,0.7251536885245902,0.005,sgd,cross_entropy,1048,170,39,184,141,2151,260,371,9,100,176,65,271,299,224,2287
AlexNet,10,0,89,3,100,2019-03-31 17:22,0.6297901966532723,0.7570440573770492,0.005,sgd,cross_entropy,1145,149,39,169,107,2208,228,331,8,86,219,68,209,277,213,2339
AlexNet,10,0,89,4,100,2019-03-31 17:26,0.5813527341748848,0.7771516393442623,0.005,sgd,cross_entropy,1179,134,40,161,102,2245,223,275,15,94,236,63,173,247,200,2408
AlexNet,10,0,89,5,100,2019-03-31 17:29,0.5458104493188076,0.7912397540983607,0.005,sgd,cross_entropy,1178,116,39,157,97,2298,208,245,16,84,267,70,178,222,185,2435
AlexNet,10,0,89,6,100,2019-03-31 17:33,0.510766107527936,0.8051997950819673,0.005,sgd,cross_entropy,1219,107,42,154,85,2310,194,221,8,81,287,61,157,222,176,2471
AlexNet,10,0,89,7,100,2019-03-31 17:37,0.47834687154801164,0.8203125,0.005,sgd,cross_entropy,1257,89,39,141,70,2332,189,208,12,84,314,56,130,215,157,2502
AlexNet,10,0,89,8,100,2019-03-31 17:40,0.4651605887491195,0.8311987704918032,0.005,sgd,cross_entropy,1278,91,41,128,59,2358,178,192,11,72,333,66,121,199,147,2521
AlexNet,10,0,89,9,100,2019-03-31 17:44,0.44688371752129225,0.8341444672131147,0.005,sgd,cross_entropy,1271,104,34,129,64,2357,169,184,12,70,342,51,122,189,154,2543
AlexNet,10,0,89,10,100,2019-03-31 17:47,0.43141058624767864,0.8393954918032787,0.005,sgd,cross_entropy,1278,88,39,123,58,2387,148,193,13,70,360,62,120,175,152,2529
AlexNet,10,0,89,11,100,2019-03-31 17:51,0.41069568571497184,0.8472079918032787,0.005,sgd,cross_entropy,1303,86,30,118,56,2400,150,188,9,71,382,71,101,163,137,2530
AlexNet,10,0,89,12,100,2019-03-31 17:54,0.4033825358406442,0.8520747950819673,0.005,sgd,cross_entropy,1302,85,30,110,62,2409,156,162,8,55,374,67,97,171,139,2568
AlexNet,10,0,89,13,100,2019-03-31 17:58,0.3861944167340388,0.8624487704918032,0.005,sgd,cross_entropy,1329,76,33,109,54,2412,143,146,7,74,399,58,79,158,124,2594
AlexNet,10,0,89,14,100,2019-03-31 18:01,0.37590492748823323,0.8629610655737705,0.005,sgd,cross_entropy,1319,69,31,109,48,2432,147,133,12,60,400,78,90,159,121,2587
AlexNet,10,0,89,15,100,2019-03-31 18:05,0.35857907279593043,0.8698770491803278,0.005,sgd,cross_entropy,1344,61,24,94,40,2440,131,138,11,67,409,76,74,152,135,2599
