model,fz_depth,data_aug,random_state,epoch,n_epoch,date,loss,acc,lr,optim,crit,pred_0_0,pred_0_1,pred_0_2,pred_0_3,pred_1_0,pred_1_1,pred_1_2,pred_1_3,pred_2_0,pred_2_1,pred_2_2,pred_2_3,pred_3_0,pred_3_1,pred_3_2,pred_3_3
AlexNet,3,0,52,1,100,2019-03-31 17:04,0.8396164516233048,0.6591981132075472,0.005,sgd,cross_entropy,65,37,6,25,175,2260,339,476,23,138,240,110,195,376,371,1907
AlexNet,3,0,52,2,100,2019-03-31 17:06,0.5531458224890367,0.7824292452830188,0.005,sgd,cross_entropy,256,52,13,40,71,2436,182,218,29,121,522,166,102,202,239,2094
AlexNet,3,0,52,3,100,2019-03-31 17:08,0.42443462587752434,0.8438974056603774,0.005,sgd,cross_entropy,336,28,15,38,40,2524,169,126,23,105,620,109,59,154,152,2245
AlexNet,3,0,52,4,100,2019-03-31 17:11,0.3514609066945202,0.8676297169811321,0.005,sgd,cross_entropy,357,20,12,16,27,2588,129,114,20,79,676,123,54,124,139,2265
AlexNet,3,0,52,5,100,2019-03-31 17:14,0.2985122068872992,0.8873820754716981,0.005,sgd,cross_entropy,370,19,15,34,24,2622,108,96,15,65,722,82,49,105,111,2306
AlexNet,3,0,52,6,100,2019-03-31 17:18,0.25727345808497015,0.9056603773584906,0.005,sgd,cross_entropy,394,13,9,17,18,2659,97,91,12,56,750,69,34,83,100,2341
AlexNet,3,0,52,7,100,2019-03-31 17:21,0.23607331401896928,0.9093455188679245,0.005,sgd,cross_entropy,400,16,14,25,14,2647,86,83,12,60,776,64,32,88,80,2346
AlexNet,3,0,52,8,100,2019-03-31 17:25,0.1955311433324274,0.9310141509433962,0.005,sgd,cross_entropy,403,5,11,20,12,2708,67,52,14,46,811,52,29,52,67,2394
AlexNet,3,0,52,9,100,2019-03-31 17:29,0.21714642362774544,0.9198113207547169,0.005,sgd,cross_entropy,398,20,13,21,20,2659,65,89,12,42,819,44,28,90,59,2364
AlexNet,3,0,52,10,100,2019-03-31 17:32,0.14567251925198538,0.9469339622641509,0.005,sgd,cross_entropy,410,9,8,10,10,2742,50,50,10,22,847,33,28,38,51,2425
AlexNet,3,0,52,11,100,2019-03-31 17:36,0.16620040389726748,0.941185141509434,0.005,sgd,cross_entropy,419,10,5,16,9,2728,54,40,6,34,827,51,24,39,70,2411
AlexNet,3,0,52,12,100,2019-03-31 17:39,0.140675184861669,0.9470813679245284,0.005,sgd,cross_entropy,418,10,6,16,9,2725,48,49,8,27,861,32,23,49,41,2421
