model,fz_depth,epoch,n_epoch,date,loss,acc,lr,optim,crit,pred_0_0,pred_0_1,pred_0_2,pred_0_3,pred_1_0,pred_1_1,pred_1_2,pred_1_3,pred_2_0,pred_2_1,pred_2_2,pred_2_3,pred_3_0,pred_3_1,pred_3_2,pred_3_3
AlexNet,10,1,100,2019-02-27 14:34,1.2850157085217928,0.47368421052631576,0.001,sgd,cross_entropy,3,24,5,13,153,1064,188,436,10,76,19,75,528,1546,744,2370
AlexNet,10,2,100,2019-02-27 14:36,1.2195802655136376,0.5424890350877193,0.001,sgd,cross_entropy,0,0,0,0,326,1862,434,798,0,0,0,0,368,848,522,2096
AlexNet,10,3,100,2019-02-27 14:39,1.1969229714912282,0.5618146929824561,0.001,sgd,cross_entropy,0,0,0,0,332,1991,491,786,0,0,0,0,362,719,465,2108
AlexNet,10,4,100,2019-02-27 14:42,1.182047258343613,0.5679824561403509,0.001,sgd,cross_entropy,0,0,0,0,336,1983,498,733,0,0,0,0,358,727,458,2161
AlexNet,10,5,100,2019-02-27 14:45,1.1726111696477521,0.5745614035087719,0.001,sgd,cross_entropy,0,0,0,0,318,2021,469,723,0,0,0,0,376,689,487,2171
AlexNet,10,6,100,2019-02-27 14:49,1.1601140875565379,0.5884046052631579,0.001,sgd,cross_entropy,0,0,0,0,313,2026,472,627,0,0,0,0,381,684,484,2267
AlexNet,10,7,100,2019-02-27 14:52,1.1573941414816338,0.5841557017543859,0.001,sgd,cross_entropy,0,0,0,0,319,2048,457,680,0,0,0,0,375,662,499,2214
AlexNet,10,8,100,2019-02-27 14:56,1.1495171262506854,0.5973135964912281,0.001,sgd,cross_entropy,0,0,0,0,308,2087,476,623,0,0,0,0,386,623,480,2271
AlexNet,10,9,100,2019-02-27 15:00,1.1435117219623767,0.6040296052631579,0.001,sgd,cross_entropy,0,0,0,0,313,2106,484,593,0,0,0,0,381,604,472,2301
AlexNet,10,10,100,2019-02-27 15:04,1.1363612392492461,0.610608552631579,0.001,sgd,cross_entropy,0,0,0,0,304,2130,461,569,0,0,0,0,390,580,495,2325
AlexNet,10,11,100,2019-02-27 15:10,1.1335953829581278,0.6104714912280702,0.001,sgd,cross_entropy,0,0,0,0,300,2091,485,531,0,0,0,0,394,619,471,2363
AlexNet,10,12,100,2019-02-27 15:19,1.1300299125805235,0.6130756578947368,0.001,sgd,cross_entropy,0,0,0,0,309,2096,465,517,0,0,0,0,385,614,491,2377
AlexNet,10,13,100,2019-02-27 15:28,1.1254376863178455,0.6182839912280702,0.001,sgd,cross_entropy,0,0,0,0,309,2128,492,511,0,0,0,0,385,582,464,2383
