model,fz_depth,data_aug,random_state,epoch,n_epoch,date,loss,acc,lr,optim,crit,pred_0_0,pred_0_1,pred_0_2,pred_0_3,pred_1_0,pred_1_1,pred_1_2,pred_1_3,pred_2_0,pred_2_1,pred_2_2,pred_2_3,pred_3_0,pred_3_1,pred_3_2,pred_3_3
AlexNet,8,0,101,1,100,2019-03-31 17:08,0.8958242773040523,0.6341463414634146,0.005,sgd,cross_entropy,789,146,67,187,259,2065,332,492,29,107,233,121,312,378,429,1905
AlexNet,8,0,101,2,100,2019-03-31 17:11,0.6863165754612869,0.7328506097560976,0.005,sgd,cross_entropy,1042,119,76,176,104,2242,241,286,27,103,417,175,216,232,327,2068
AlexNet,8,0,101,3,100,2019-03-31 17:14,0.5781292178766514,0.7830284552845529,0.005,sgd,cross_entropy,1122,70,65,125,65,2320,204,231,36,96,518,145,166,210,274,2204
AlexNet,8,0,101,4,100,2019-03-31 17:17,0.5110000982517149,0.8145325203252033,0.005,sgd,cross_entropy,1202,57,61,122,48,2364,191,181,16,86,580,136,123,189,229,2266
AlexNet,8,0,101,5,100,2019-03-31 17:21,0.45562375076418,0.836890243902439,0.005,sgd,cross_entropy,1226,47,53,93,45,2398,169,150,22,79,625,123,96,172,214,2339
AlexNet,8,0,101,6,100,2019-03-31 17:24,0.40469592955054307,0.8572154471544715,0.005,sgd,cross_entropy,1254,34,50,83,39,2441,154,136,18,74,676,109,78,147,181,2377
AlexNet,8,0,101,7,100,2019-03-31 17:28,0.3734158151518039,0.8673780487804879,0.005,sgd,cross_entropy,1262,39,35,75,36,2455,149,130,19,48,715,104,72,154,162,2396
AlexNet,8,0,101,8,100,2019-03-31 17:32,0.34888647436126463,0.873729674796748,0.005,sgd,cross_entropy,1276,33,35,59,33,2455,134,129,19,60,734,104,61,148,158,2413
AlexNet,8,0,101,9,100,2019-03-31 17:35,0.31860488023215194,0.8863058943089431,0.005,sgd,cross_entropy,1288,31,38,51,31,2494,121,123,15,57,763,99,55,114,139,2432
AlexNet,8,0,101,10,100,2019-03-31 17:39,0.29152136701878495,0.8985010162601627,0.005,sgd,cross_entropy,1301,24,35,48,24,2505,109,102,14,47,791,79,50,120,126,2476
AlexNet,8,0,101,11,100,2019-03-31 17:42,0.27881991378660126,0.8991361788617886,0.005,sgd,cross_entropy,1292,24,26,48,26,2495,108,101,16,57,803,68,55,120,124,2488
AlexNet,8,0,101,12,100,2019-03-31 17:46,0.25965532442418543,0.9087906504065041,0.005,sgd,cross_entropy,1309,19,32,43,22,2523,91,105,12,41,837,72,46,113,101,2485
AlexNet,8,0,101,13,100,2019-03-31 17:50,0.24100077249170318,0.914380081300813,0.005,sgd,cross_entropy,1312,21,29,34,19,2527,86,85,13,48,846,73,45,100,100,2513
AlexNet,8,0,101,14,100,2019-03-31 17:53,0.22800774302909044,0.9208587398373984,0.005,sgd,cross_entropy,1320,17,23,42,17,2549,85,85,11,42,865,63,41,88,88,2515
AlexNet,8,0,101,15,100,2019-03-31 17:57,0.21604479037649263,0.922510162601626,0.005,sgd,cross_entropy,1333,20,20,37,14,2540,85,94,10,39,872,57,32,97,84,2517
AlexNet,8,0,101,16,100,2019-03-31 18:00,0.2115827575931704,0.9254319105691057,0.005,sgd,cross_entropy,1321,13,23,33,20,2552,80,80,13,41,877,57,35,90,81,2535
AlexNet,8,0,101,17,100,2019-03-31 18:04,0.19999376932779947,0.9317835365853658,0.005,sgd,cross_entropy,1326,19,19,26,14,2571,67,75,12,40,887,53,37,66,88,2551
