model,fz_depth,data_aug,random_state,epoch,n_epoch,date,loss,acc,lr,optim,crit,pred_0_0,pred_0_1,pred_0_2,pred_0_3,pred_1_0,pred_1_1,pred_1_2,pred_1_3,pred_2_0,pred_2_1,pred_2_2,pred_2_3,pred_3_0,pred_3_1,pred_3_2,pred_3_3
AlexNet,3,0,52,1,100,2019-03-31 17:02,0.8671627404554835,0.6376768867924528,0.005,sgd,cross_entropy,45,39,4,11,184,2190,361,498,17,126,214,132,212,456,377,1877
AlexNet,3,0,52,2,100,2019-03-31 17:04,0.5787452121950546,0.7721108490566038,0.005,sgd,cross_entropy,254,53,8,34,65,2404,207,233,21,139,488,159,118,215,253,2092
AlexNet,3,0,52,3,100,2019-03-31 17:06,0.42493791400261643,0.8472877358490566,0.005,sgd,cross_entropy,334,29,13,40,27,2563,144,136,20,85,633,124,77,134,166,2218
AlexNet,3,0,52,4,100,2019-03-31 17:08,0.3656980406563237,0.8670400943396226,0.005,sgd,cross_entropy,361,19,20,25,29,2586,134,123,20,83,665,100,48,123,137,2270
AlexNet,3,0,52,5,100,2019-03-31 17:10,0.3013582949368459,0.8937205188679245,0.005,sgd,cross_entropy,376,16,18,28,23,2647,105,96,15,57,722,76,44,91,111,2318
AlexNet,3,0,52,6,100,2019-03-31 17:13,0.29526194086614643,0.8922464622641509,0.005,sgd,cross_entropy,384,22,7,11,24,2607,109,114,21,61,742,73,29,121,98,2320
AlexNet,3,0,52,7,100,2019-03-31 17:17,0.22791412641417305,0.9159787735849056,0.005,sgd,cross_entropy,388,10,16,20,14,2681,90,68,21,51,771,56,35,69,79,2374
AlexNet,3,0,52,8,100,2019-03-31 17:21,0.18681141115584463,0.9299823113207547,0.005,sgd,cross_entropy,405,11,11,21,17,2701,71,67,8,38,807,34,28,61,67,2396
AlexNet,3,0,52,9,100,2019-03-31 17:24,0.19575459102414688,0.9258549528301887,0.005,sgd,cross_entropy,404,12,7,16,19,2678,68,78,9,46,812,37,26,75,69,2387
AlexNet,3,0,52,10,100,2019-03-31 17:28,0.1692436326224849,0.9348466981132075,0.005,sgd,cross_entropy,413,11,7,20,14,2709,68,66,10,45,819,31,21,46,62,2401
AlexNet,3,0,52,11,100,2019-03-31 17:31,0.14331926489776037,0.9469339622641509,0.005,sgd,cross_entropy,415,7,7,13,9,2724,50,54,7,33,854,20,27,47,45,2431
AlexNet,3,0,52,12,100,2019-03-31 17:35,0.13146746833369416,0.9484080188679245,0.005,sgd,cross_entropy,425,10,7,13,10,2722,47,47,8,28,859,30,15,51,43,2428
AlexNet,3,0,52,13,100,2019-03-31 17:38,0.14757200457015127,0.9464917452830188,0.005,sgd,cross_entropy,417,5,9,19,6,2732,44,46,9,30,860,41,26,44,43,2412
AlexNet,3,0,52,14,100,2019-03-31 17:42,0.11006981471799454,0.9576945754716981,0.005,sgd,cross_entropy,426,8,7,9,7,2748,38,41,8,21,881,26,17,34,30,2442
AlexNet,3,0,52,15,100,2019-03-31 17:46,0.1085041603952084,0.9563679245283019,0.005,sgd,cross_entropy,423,6,7,14,10,2742,44,34,7,29,877,24,18,34,28,2446
AlexNet,3,0,52,16,100,2019-03-31 17:49,0.09497818856869104,0.9618219339622641,0.005,sgd,cross_entropy,434,5,6,7,6,2758,34,36,6,17,881,23,12,31,35,2452
AlexNet,3,0,52,17,100,2019-03-31 17:53,0.10117107967160782,0.9609375,0.005,sgd,cross_entropy,432,8,5,12,5,2758,35,33,5,15,883,27,16,30,33,2446
AlexNet,3,0,52,18,100,2019-03-31 17:56,0.0975856601067309,0.9625589622641509,0.005,sgd,cross_entropy,435,6,9,12,10,2755,34,28,0,20,885,23,13,30,28,2455
AlexNet,3,0,52,19,100,2019-03-31 18:00,0.07921825264984707,0.9681603773584906,0.005,sgd,cross_entropy,432,8,3,13,6,2764,19,29,5,15,910,14,15,24,24,2462
AlexNet,3,0,52,20,100,2019-03-31 18:03,0.06010040697061791,0.9752358490566038,0.0025,sgd,cross_entropy,442,5,3,7,6,2775,16,20,1,10,919,11,9,21,18,2480
AlexNet,3,0,52,21,100,2019-03-31 18:07,0.054093779258008276,0.9790683962264151,0.0025,sgd,cross_entropy,443,1,4,8,6,2787,16,15,1,8,927,10,8,15,9,2485
AlexNet,3,0,52,22,100,2019-03-31 18:11,0.05102581797905688,0.9789209905660378,0.0025,sgd,cross_entropy,445,4,3,6,4,2786,17,19,3,7,925,8,6,14,11,2485
