model,random_state,epoch,n_epoch,date,loss,acc,lr,optim,crit,pred_0_0,pred_0_1,pred_0_2,pred_0_3,pred_1_0,pred_1_1,pred_1_2,pred_1_3,pred_2_0,pred_2_1,pred_2_2,pred_2_3,pred_3_0,pred_3_1,pred_3_2,pred_3_3
MaunaNet3,123,1,100,2019-03-31 23:21,1.090046491779265,0.5157530737704918,0.005,sgd,cross_entropy,336,111,65,82,530,1519,446,830,24,9,3,17,423,988,248,2169
MaunaNet3,123,2,100,2019-03-31 23:24,1.0030632019042969,0.5689036885245902,0.005,sgd,cross_entropy,540,151,104,115,383,1598,394,689,39,16,26,16,351,862,238,2278
MaunaNet3,123,3,100,2019-03-31 23:28,0.9351136254482582,0.6124487704918032,0.005,sgd,cross_entropy,685,159,113,125,269,1670,359,595,53,32,68,19,306,766,222,2359
MaunaNet3,123,4,100,2019-03-31 23:32,0.8738978651703381,0.6445952868852459,0.005,sgd,cross_entropy,779,155,116,150,220,1786,335,546,46,32,82,16,268,654,229,2386
MaunaNet3,123,5,100,2019-03-31 23:35,0.8349560596903817,0.6671362704918032,0.005,sgd,cross_entropy,836,160,120,159,178,1849,346,486,30,30,83,12,269,588,213,2441
MaunaNet3,123,6,100,2019-03-31 23:39,0.7987306938796747,0.6849385245901639,0.005,sgd,cross_entropy,875,157,121,146,158,1885,323,457,39,47,107,14,241,538,211,2481
MaunaNet3,123,7,100,2019-03-31 23:43,0.7689577946897412,0.7038934426229508,0.005,sgd,cross_entropy,910,156,108,153,134,1938,321,404,37,35,121,14,232,498,212,2527
MaunaNet3,123,8,100,2019-03-31 23:47,0.7450622183377625,0.7134989754098361,0.005,sgd,cross_entropy,947,142,108,140,106,1958,322,409,34,43,125,8,226,484,207,2541
MaunaNet3,123,9,100,2019-03-31 23:50,0.704605978043353,0.7288678278688525,0.005,sgd,cross_entropy,975,141,111,153,86,2012,309,378,40,51,153,16,212,423,189,2551
MaunaNet3,123,10,100,2019-03-31 23:54,0.6832273514544378,0.7429559426229508,0.005,sgd,cross_entropy,962,132,107,137,107,2051,296,326,27,50,176,23,217,394,183,2612
MaunaNet3,123,11,100,2019-03-31 23:58,0.6629431052286117,0.7557633196721312,0.005,sgd,cross_entropy,986,140,109,125,95,2076,279,308,27,46,192,18,205,365,182,2647
MaunaNet3,123,12,100,2019-04-01 00:02,0.638464693163262,0.7630635245901639,0.005,sgd,cross_entropy,1006,128,90,121,83,2076,284,295,31,51,212,18,193,372,176,2664
MaunaNet3,123,13,100,2019-04-01 00:05,0.6017826267930327,0.7827868852459017,0.005,sgd,cross_entropy,1037,122,97,129,71,2152,269,255,24,47,231,22,181,306,165,2692
MaunaNet3,123,14,100,2019-04-01 00:09,0.5793955443335361,0.7964907786885246,0.005,sgd,cross_entropy,1029,113,83,120,75,2185,249,223,30,65,274,24,179,264,156,2731
MaunaNet3,123,15,100,2019-04-01 00:13,0.5635535443415407,0.7989241803278688,0.005,sgd,cross_entropy,1055,125,84,116,58,2164,253,214,34,60,278,27,166,278,147,2741
