model,epoch,n_epoch,date,loss,acc,lr,optim,crit,pred_0_0,pred_0_1,pred_0_2,pred_0_3,pred_1_0,pred_1_1,pred_1_2,pred_1_3,pred_2_0,pred_2_1,pred_2_2,pred_2_3,pred_3_0,pred_3_1,pred_3_2,pred_3_3
BenchMarkAug,1,100,2019-02-14 18:37,1.3082365908865201,0.37368697478991597,0.001,adam,cross_entropy,6,11,1,9,141,297,122,323,0,0,0,0,1028,2233,842,2543
BenchMarkAug,2,100,2019-02-14 18:39,1.2998848607984639,0.375656512605042,0.001,adam,cross_entropy,0,0,0,0,24,33,16,47,0,0,0,0,1151,2508,949,2828
BenchMarkAug,3,100,2019-02-14 18:41,1.280242919921875,0.41452205882352944,0.001,adam,cross_entropy,0,0,0,0,504,1009,411,727,0,0,0,0,671,1532,554,2148
BenchMarkAug,4,100,2019-02-14 18:44,1.2691699529098253,0.42778361344537813,0.001,adam,cross_entropy,0,0,0,0,714,1582,621,1199,0,0,0,0,461,959,344,1676
BenchMarkAug,5,100,2019-02-14 18:47,1.2622013415320446,0.4363182773109244,0.001,adam,cross_entropy,0,0,0,0,712,1489,595,1041,0,0,0,0,463,1052,370,1834
BenchMarkAug,6,100,2019-02-14 18:50,1.264383736303297,0.4325105042016807,0.001,adam,cross_entropy,0,0,0,0,739,1553,590,1134,0,0,0,0,436,988,375,1741
BenchMarkAug,7,100,2019-02-14 18:53,1.263580322265625,0.43146008403361347,0.001,adam,cross_entropy,0,0,0,0,721,1482,554,1071,0,0,0,0,454,1059,411,1804
BenchMarkAug,8,100,2019-02-14 18:56,1.2610067593849312,0.43434873949579833,0.001,adam,cross_entropy,0,0,0,0,707,1504,566,1071,0,0,0,0,468,1037,399,1804
BenchMarkAug,9,100,2019-02-14 18:59,1.2559511863579185,0.436843487394958,0.001,adam,cross_entropy,0,0,0,0,674,1423,542,971,0,0,0,0,501,1118,423,1904
BenchMarkAug,10,100,2019-02-14 19:03,1.252308861683991,0.43566176470588236,0.001,adam,cross_entropy,0,0,0,0,669,1412,534,969,0,0,0,0,506,1129,431,1906
BenchMarkAug,11,100,2019-02-14 19:06,1.2573666330111228,0.42857142857142855,0.001,adam,cross_entropy,0,0,0,0,676,1338,528,949,0,0,0,0,499,1203,437,1926
BenchMarkAug,12,100,2019-02-14 19:09,1.2466803081965043,0.43434873949579833,0.001,adam,cross_entropy,0,0,0,0,637,1364,520,931,0,0,0,0,538,1177,445,1944
BenchMarkAug,13,100,2019-02-14 19:12,1.2438137248411016,0.43566176470588236,0.001,adam,cross_entropy,0,0,0,0,660,1424,550,981,0,0,0,0,515,1117,415,1894
BenchMarkAug,14,100,2019-02-14 19:16,1.2419015916727356,0.42883403361344535,0.001,adam,cross_entropy,0,0,0,0,634,1403,543,1013,0,2,1,0,541,1136,421,1862
