model,fz_depth,epoch,n_epoch,date,loss,acc,lr,optim,crit,pred_0_0,pred_0_1,pred_0_2,pred_0_3,pred_1_0,pred_1_1,pred_1_2,pred_1_3,pred_2_0,pred_2_1,pred_2_2,pred_2_3,pred_3_0,pred_3_1,pred_3_2,pred_3_3
AlexNet,8,1,100,2019-02-27 15:04,1.1484491611883891,0.5947662601626016,0.01,sgd,cross_entropy,604,131,89,144,462,2387,701,593,27,45,109,59,293,293,307,1582
AlexNet,8,2,100,2019-02-27 15:08,1.032081666031504,0.7170985772357723,0.01,sgd,cross_entropy,996,123,75,195,129,2426,378,368,97,153,635,227,164,154,118,1588
AlexNet,8,3,100,2019-02-27 15:11,0.9841513905098768,0.7604166666666666,0.01,sgd,cross_entropy,1146,100,85,146,83,2445,306,322,51,141,701,216,106,170,114,1694
AlexNet,8,4,100,2019-02-27 15:16,0.9563101791754002,0.7859502032520326,0.01,sgd,cross_entropy,1183,82,56,130,65,2499,300,295,49,136,741,189,89,139,109,1764
AlexNet,8,5,100,2019-02-27 15:22,0.9293118608676321,0.817454268292683,0.01,sgd,cross_entropy,1232,65,57,115,32,2521,260,219,46,108,763,125,76,162,126,1919
AlexNet,8,6,100,2019-02-27 15:27,0.9062242585469068,0.8394308943089431,0.01,sgd,cross_entropy,1244,58,51,87,52,2559,265,169,28,88,782,99,62,151,108,2023
AlexNet,8,7,100,2019-02-27 15:33,0.89215087890625,0.8536585365853658,0.01,sgd,cross_entropy,1264,53,33,87,36,2589,246,153,23,70,818,89,63,144,109,2049
AlexNet,8,8,100,2019-02-27 15:39,0.8797173228690295,0.866234756097561,0.01,sgd,cross_entropy,1296,32,37,80,24,2613,251,134,27,71,826,80,39,140,92,2084
AlexNet,8,9,100,2019-02-27 15:44,0.8766503682950648,0.8658536585365854,0.01,sgd,cross_entropy,1275,36,29,78,28,2618,235,128,24,64,838,87,59,138,104,2085
AlexNet,8,10,100,2019-02-27 15:49,0.8630531124952363,0.883765243902439,0.01,sgd,cross_entropy,1308,34,19,75,21,2654,238,92,21,50,860,76,36,118,89,2135
AlexNet,8,11,100,2019-02-27 15:54,0.8559768800813008,0.8875762195121951,0.01,sgd,cross_entropy,1304,26,26,53,25,2665,233,100,19,60,856,63,38,105,91,2162
AlexNet,8,12,100,2019-02-27 16:00,0.8505368736701283,0.8931656504065041,0.01,sgd,cross_entropy,1314,21,23,53,28,2686,214,103,17,46,876,67,27,103,93,2155
AlexNet,8,13,100,2019-02-27 16:05,0.8518831826807037,0.8902439024390244,0.01,sgd,cross_entropy,1313,31,23,69,23,2677,203,116,17,49,892,67,33,99,88,2126
AlexNet,8,14,100,2019-02-27 16:10,0.8420038610939088,0.9016768292682927,0.01,sgd,cross_entropy,1322,22,24,49,23,2697,194,88,11,42,898,60,30,95,90,2181
AlexNet,8,15,100,2019-02-27 16:15,0.8415630929838351,0.9021849593495935,0.01,sgd,cross_entropy,1327,18,25,49,16,2690,192,90,14,57,907,61,29,91,82,2178
