model,fz_depth,epoch,n_epoch,date,loss,acc,lr,optim,crit,pred_0_0,pred_0_1,pred_0_2,pred_0_3,pred_1_0,pred_1_1,pred_1_2,pred_1_3,pred_2_0,pred_2_1,pred_2_2,pred_2_3,pred_3_0,pred_3_1,pred_3_2,pred_3_3
AlexNet,6,1,100,2019-02-27 15:16,1.1701314470409292,0.5649889380530974,0.01,sgd,cross_entropy,496,99,61,128,183,1433,353,460,1,1,4,3,385,647,788,2153
AlexNet,6,2,100,2019-02-27 15:21,1.06605374496595,0.677129424778761,0.01,sgd,cross_entropy,826,93,113,120,71,1717,327,270,0,0,0,0,168,370,766,2354
AlexNet,6,3,100,2019-02-27 15:27,1.0173611261148368,0.7238661504424779,0.01,sgd,cross_entropy,925,43,107,104,35,1860,362,190,0,0,0,0,105,277,737,2450
AlexNet,6,4,100,2019-02-27 15:32,0.9852212551420769,0.7563606194690266,0.01,sgd,cross_entropy,954,31,117,88,26,1913,323,149,17,27,160,64,68,209,606,2443
AlexNet,6,5,100,2019-02-27 15:37,0.9388192100862486,0.8062776548672567,0.01,sgd,cross_entropy,948,33,73,73,19,1867,223,121,30,58,643,177,68,222,267,2373
AlexNet,6,6,100,2019-02-27 15:43,0.9146451021717713,0.8293694690265486,0.01,sgd,cross_entropy,946,36,55,69,26,1887,201,106,30,79,749,153,63,178,201,2416
AlexNet,6,7,100,2019-02-27 15:48,0.894367521843024,0.8466537610619469,0.01,sgd,cross_entropy,965,21,48,45,17,1914,177,106,23,61,795,144,60,184,186,2449
AlexNet,6,8,100,2019-02-27 15:53,0.8831700012747166,0.8608960176991151,0.01,sgd,cross_entropy,987,16,37,53,17,1911,142,104,24,70,864,123,37,183,163,2464
AlexNet,6,9,100,2019-02-27 15:58,0.8685249396130047,0.875,0.01,sgd,cross_entropy,1000,18,39,40,12,1953,153,98,17,51,877,108,36,158,137,2498
AlexNet,6,10,100,2019-02-27 16:03,0.8617245159317962,0.8791482300884956,0.01,sgd,cross_entropy,1000,18,41,50,11,1956,137,86,29,60,889,95,25,146,139,2513
