model,fz_depth,epoch,n_epoch,date,loss,acc,lr,optim,crit,pred_0_0,pred_0_1,pred_0_2,pred_0_3,pred_1_0,pred_1_1,pred_1_2,pred_1_3,pred_2_0,pred_2_1,pred_2_2,pred_2_3,pred_3_0,pred_3_1,pred_3_2,pred_3_3
AlexNet,10,1,100,2019-02-27 15:05,1.1693776448567708,0.5752032520325203,0.01,sgd,cross_entropy,549,109,74,119,485,2377,705,654,2,5,2,5,350,365,425,1600
AlexNet,10,2,100,2019-02-27 15:09,1.0875906595369664,0.6539634146341463,0.01,sgd,cross_entropy,952,180,147,218,195,2474,629,438,0,0,0,0,239,202,430,1722
AlexNet,10,3,100,2019-02-27 15:13,1.0514218710302337,0.6900406504065041,0.01,sgd,cross_entropy,1064,157,134,197,118,2471,538,383,25,68,177,78,179,160,357,1720
AlexNet,10,4,100,2019-02-27 15:19,1.0147093486010543,0.7345020325203252,0.01,sgd,cross_entropy,1103,114,102,156,103,2469,388,341,54,136,532,203,126,137,184,1678
AlexNet,10,5,100,2019-02-27 15:24,0.9906044936761623,0.7611788617886179,0.01,sgd,cross_entropy,1142,102,80,139,75,2487,341,294,56,132,642,224,113,135,143,1721
AlexNet,10,6,100,2019-02-27 15:29,0.9723985253310785,0.7733739837398373,0.01,sgd,cross_entropy,1141,75,71,123,68,2522,328,288,70,117,659,201,107,142,148,1766
AlexNet,10,7,100,2019-02-27 15:35,0.9562114932672764,0.7949695121951219,0.01,sgd,cross_entropy,1175,69,67,110,53,2539,301,260,54,106,705,169,104,142,133,1839
AlexNet,10,8,100,2019-02-27 15:40,0.9428972073686801,0.8048780487804879,0.01,sgd,cross_entropy,1189,64,68,114,51,2545,281,238,52,104,710,134,94,143,147,1892
AlexNet,10,9,100,2019-02-27 15:45,0.9316909914094258,0.8168191056910569,0.01,sgd,cross_entropy,1221,64,70,97,43,2555,278,231,39,95,716,112,83,142,142,1938
AlexNet,10,10,100,2019-02-27 15:50,0.9192360358509591,0.8310467479674797,0.01,sgd,cross_entropy,1224,52,53,87,37,2573,264,199,41,95,754,101,84,136,135,1991
AlexNet,10,11,100,2019-02-27 15:55,0.9088355583873221,0.8380335365853658,0.01,sgd,cross_entropy,1229,50,55,88,37,2589,261,171,36,77,745,85,84,140,145,2034
AlexNet,10,12,100,2019-02-27 16:00,0.8985410860883511,0.8492123983739838,0.01,sgd,cross_entropy,1256,54,50,79,33,2573,259,138,39,89,780,85,58,140,117,2076
AlexNet,10,13,100,2019-02-27 16:05,0.8904112528979293,0.8567073170731707,0.01,sgd,cross_entropy,1259,38,41,82,29,2589,254,121,36,81,790,69,62,148,121,2106
AlexNet,10,14,100,2019-02-27 16:10,0.8835021848601055,0.8647103658536586,0.01,sgd,cross_entropy,1265,34,47,73,26,2639,250,124,37,54,793,71,58,129,116,2110
AlexNet,10,15,100,2019-02-27 16:15,0.8772059494886941,0.8711890243902439,0.01,sgd,cross_entropy,1273,39,39,61,32,2649,253,126,29,44,815,70,52,124,99,2121
AlexNet,10,16,100,2019-02-27 16:20,0.8720690719480437,0.876270325203252,0.01,sgd,cross_entropy,1279,26,39,51,28,2650,248,105,23,65,817,70,56,115,102,2152
AlexNet,10,17,100,2019-02-27 16:26,0.8678652135337271,0.8785569105691057,0.01,sgd,cross_entropy,1281,29,31,66,33,2650,236,102,26,54,836,61,46,123,103,2149
AlexNet,10,18,100,2019-02-27 16:31,0.8675448409910125,0.8779217479674797,0.01,sgd,cross_entropy,1275,39,32,56,34,2648,238,108,25,49,840,66,52,120,96,2148
AlexNet,10,19,100,2019-02-27 16:36,0.8594984969472498,0.8857977642276422,0.01,sgd,cross_entropy,1289,38,33,51,23,2648,206,95,26,57,868,64,48,113,99,2168
AlexNet,10,20,100,2019-02-27 16:41,0.8580612554782774,0.8873221544715447,0.01,sgd,cross_entropy,1289,27,30,46,27,2666,210,103,21,50,869,68,49,113,97,2161
AlexNet,10,21,100,2019-02-27 16:46,0.8543868026113123,0.8896087398373984,0.01,sgd,cross_entropy,1295,20,23,45,26,2683,217,98,19,50,864,74,46,103,102,2161
AlexNet,10,22,100,2019-02-27 16:51,0.8485171930576728,0.8973577235772358,0.01,sgd,cross_entropy,1310,21,32,35,22,2680,208,88,17,45,880,61,37,110,86,2194
AlexNet,10,23,100,2019-02-27 16:56,0.8484619884956174,0.8959603658536586,0.01,sgd,cross_entropy,1301,24,22,50,28,2680,204,96,21,51,889,49,36,101,91,2183
AlexNet,10,24,100,2019-02-27 17:01,0.8460395626905488,0.9010416666666666,0.01,sgd,cross_entropy,1303,21,30,36,22,2692,188,88,18,50,904,60,43,93,84,2194
AlexNet,10,25,100,2019-02-27 17:06,0.8415253181767658,0.9030741869918699,0.01,sgd,cross_entropy,1304,16,18,44,21,2702,202,87,19,49,902,46,42,89,84,2201
AlexNet,10,26,100,2019-02-27 17:11,0.8420032408179307,0.9030741869918699,0.01,sgd,cross_entropy,1306,14,30,39,23,2702,183,92,19,55,911,57,38,85,82,2190
AlexNet,10,27,100,2019-02-27 17:17,0.8380196424034553,0.9063770325203252,0.01,sgd,cross_entropy,1307,16,21,38,22,2711,186,84,20,40,903,42,37,89,96,2214
AlexNet,10,28,100,2019-02-27 17:22,0.8361354920922256,0.9089176829268293,0.01,sgd,cross_entropy,1316,16,19,33,15,2708,176,85,17,37,930,59,38,95,81,2201
AlexNet,10,29,100,2019-02-27 17:27,0.8354698119124746,0.9072662601626016,0.01,sgd,cross_entropy,1305,17,23,37,19,2718,185,83,17,39,913,52,45,82,85,2206
AlexNet,10,30,100,2019-02-27 17:32,0.8332213735192772,0.9096798780487805,0.01,sgd,cross_entropy,1319,20,23,38,18,2700,177,70,14,52,919,47,35,84,87,2223
AlexNet,10,31,100,2019-02-27 17:37,0.8314525325123857,0.9117123983739838,0.01,sgd,cross_entropy,1316,21,24,34,21,2706,162,79,13,44,942,52,36,85,78,2213
AlexNet,10,32,100,2019-02-27 17:42,0.8287177357247205,0.9165396341463414,0.01,sgd,cross_entropy,1321,15,17,28,23,2730,157,86,13,41,944,44,29,70,88,2220
AlexNet,10,33,100,2019-02-27 17:47,0.8265637033353976,0.915650406504065,0.01,sgd,cross_entropy,1318,20,18,30,17,2726,167,80,18,34,943,47,33,76,78,2221
AlexNet,10,34,100,2019-02-27 17:52,0.8234539497189406,0.9223831300813008,0.01,sgd,cross_entropy,1330,18,25,22,15,2735,160,68,12,38,947,39,29,65,74,2249
AlexNet,10,35,100,2019-02-27 17:57,0.8230954922311674,0.921239837398374,0.01,sgd,cross_entropy,1325,17,20,26,17,2725,150,69,14,43,962,43,30,71,74,2240
AlexNet,10,36,100,2019-02-27 18:03,0.8220807207309133,0.9203506097560976,0.01,sgd,cross_entropy,1320,16,24,25,16,2725,153,70,15,37,966,49,35,78,63,2234
AlexNet,10,37,100,2019-02-27 18:08,0.8202144343678545,0.9244156504065041,0.01,sgd,cross_entropy,1326,7,22,19,20,2745,149,77,12,35,961,37,28,69,74,2245
AlexNet,10,38,100,2019-02-27 18:13,0.8196378258185658,0.9249237804878049,0.01,sgd,cross_entropy,1320,14,19,28,19,2735,143,64,15,38,974,34,32,69,70,2252
AlexNet,10,39,100,2019-02-27 18:18,0.8180158661633004,0.9282266260162602,0.01,sgd,cross_entropy,1329,14,22,16,18,2742,132,76,11,41,983,33,28,59,69,2253
AlexNet,10,40,100,2019-02-27 18:23,0.8154368206737487,0.9273373983739838,0.01,sgd,cross_entropy,1325,15,17,20,14,2731,130,65,14,42,987,36,33,68,72,2257
AlexNet,10,41,100,2019-02-27 18:28,0.8138294995315676,0.9303861788617886,0.01,sgd,cross_entropy,1327,8,15,22,18,2743,127,61,13,40,996,37,28,65,68,2258
AlexNet,10,42,100,2019-02-27 18:33,0.8110561215780615,0.9316565040650406,0.01,sgd,cross_entropy,1338,15,16,23,15,2739,113,66,9,37,1002,34,24,65,75,2255
AlexNet,10,43,100,2019-02-27 18:38,0.810890631947091,0.931910569105691,0.01,sgd,cross_entropy,1333,6,18,26,16,2745,117,64,12,43,1002,32,25,62,69,2256
AlexNet,10,44,100,2019-02-27 18:43,0.8091865477523184,0.932545731707317,0.01,sgd,cross_entropy,1337,16,16,21,21,2742,129,58,7,38,997,34,21,60,64,2265
AlexNet,10,45,100,2019-02-27 18:49,0.8094215703204395,0.9344512195121951,0.01,sgd,cross_entropy,1326,9,13,19,19,2758,110,68,10,38,1014,33,31,51,69,2258
AlexNet,10,46,100,2019-02-27 18:54,0.8075200522818217,0.936229674796748,0.01,sgd,cross_entropy,1329,16,15,22,22,2762,111,61,10,33,1014,30,25,45,66,2265
AlexNet,10,47,100,2019-02-27 18:59,0.807788879890752,0.9359756097560976,0.01,sgd,cross_entropy,1336,12,14,14,14,2735,112,49,10,37,1015,33,26,72,65,2282
AlexNet,10,48,100,2019-02-27 19:04,0.8037568379223832,0.9399136178861789,0.01,sgd,cross_entropy,1340,7,14,13,14,2757,107,55,7,39,1020,28,25,53,65,2282
AlexNet,10,49,100,2019-02-27 19:09,0.8044854140863186,0.938770325203252,0.01,sgd,cross_entropy,1337,9,12,10,12,2762,113,57,8,34,1012,32,29,51,69,2279
AlexNet,10,50,100,2019-02-27 19:14,0.8009043747816629,0.944359756097561,0.01,sgd,cross_entropy,1345,10,14,11,15,2768,100,43,7,27,1025,28,19,51,67,2296
AlexNet,10,51,100,2019-02-27 19:19,0.8003988498594703,0.9418191056910569,0.01,sgd,cross_entropy,1344,7,11,13,15,2758,103,53,8,35,1027,27,19,56,65,2285
AlexNet,10,52,100,2019-02-27 19:24,0.7995663154415968,0.9427083333333334,0.01,sgd,cross_entropy,1349,9,12,21,10,2764,99,49,3,31,1029,29,24,52,66,2279
AlexNet,10,53,100,2019-02-27 19:29,0.7989396506208715,0.9428353658536586,0.01,sgd,cross_entropy,1345,4,12,15,10,2768,104,56,5,30,1031,29,26,54,59,2278
AlexNet,10,54,100,2019-02-27 19:34,0.8002076187754065,0.942454268292683,0.01,sgd,cross_entropy,1341,9,8,15,18,2751,94,52,8,37,1040,24,19,59,64,2287
AlexNet,10,55,100,2019-02-27 19:39,0.7991711376159172,0.944994918699187,0.01,sgd,cross_entropy,1340,8,9,15,15,2768,85,46,8,27,1037,23,23,53,75,2294
AlexNet,10,56,100,2019-02-27 19:44,0.796419903514831,0.9467733739837398,0.01,sgd,cross_entropy,1342,6,11,13,19,2777,101,48,4,30,1035,18,21,43,59,2299
AlexNet,10,57,100,2019-02-27 19:49,0.7948338578387004,0.9490599593495935,0.01,sgd,cross_entropy,1350,5,12,12,9,2788,106,46,6,18,1035,22,21,45,53,2298
AlexNet,10,58,100,2019-02-27 19:54,0.7946897677289761,0.9486788617886179,0.01,sgd,cross_entropy,1346,6,10,13,13,2782,92,45,7,28,1048,28,20,40,56,2292
AlexNet,10,59,100,2019-02-27 19:59,0.7957664427718496,0.945630081300813,0.01,sgd,cross_entropy,1345,13,13,14,15,2774,93,47,5,28,1034,26,21,41,66,2291
AlexNet,10,60,100,2019-02-27 20:04,0.7933910338859248,0.9500762195121951,0.01,sgd,cross_entropy,1354,5,13,15,15,2791,93,48,2,23,1039,20,15,37,61,2295
