model,fz_depth,data_aug,random_state,epoch,n_epoch,date,loss,acc,lr,optim,crit,pred_0_0,pred_0_1,pred_0_2,pred_0_3,pred_1_0,pred_1_1,pred_1_2,pred_1_3,pred_2_0,pred_2_1,pred_2_2,pred_2_3,pred_3_0,pred_3_1,pred_3_2,pred_3_3
ResNet18,45,0,56,1,100,2019-03-31 12:02,1.1639504750569662,0.5087239583333333,0.001,sgd,cross_entropy,425,163,73,114,197,1635,462,716,202,73,157,134,528,594,514,1690
ResNet18,45,0,56,2,100,2019-03-31 12:06,0.884852409362793,0.7037760416666666,0.001,sgd,cross_entropy,817,49,46,67,155,2077,421,331,74,26,313,58,306,313,426,2198
ResNet18,45,0,56,3,100,2019-03-31 12:11,0.7356702168782552,0.7604166666666666,0.001,sgd,cross_entropy,992,51,55,78,114,2142,349,294,54,45,492,68,192,227,310,2214
ResNet18,45,0,56,4,100,2019-03-31 12:16,0.6396778106689454,0.7930989583333333,0.001,sgd,cross_entropy,1075,46,57,72,93,2158,317,245,39,57,609,88,145,204,223,2249
ResNet18,45,0,56,5,100,2019-03-31 12:20,0.5717384974161784,0.813671875,0.001,sgd,cross_entropy,1135,44,55,70,72,2164,283,227,39,73,692,99,106,184,176,2258
ResNet18,45,0,56,6,100,2019-03-31 12:25,0.518015734354655,0.831640625,0.001,sgd,cross_entropy,1175,36,59,70,52,2187,271,199,32,69,728,88,93,173,148,2297
ResNet18,45,0,56,7,100,2019-03-31 12:30,0.4728937784830729,0.8485677083333333,0.001,sgd,cross_entropy,1209,33,45,65,51,2217,236,194,25,62,786,90,67,153,139,2305
ResNet18,45,0,56,8,100,2019-03-31 12:34,0.4372587203979492,0.8578125,0.001,sgd,cross_entropy,1226,27,56,61,39,2222,222,163,25,70,800,90,62,146,128,2340
ResNet18,45,0,56,9,100,2019-03-31 12:39,0.4104180335998535,0.867578125,0.001,sgd,cross_entropy,1248,26,49,62,29,2232,211,153,24,73,823,79,51,134,123,2360
ResNet18,45,0,56,10,100,2019-03-31 12:44,0.39336214065551756,0.8723958333333334,0.0005,sgd,cross_entropy,1246,21,48,56,33,2245,198,139,20,74,840,90,53,125,120,2369
ResNet18,45,0,56,11,100,2019-03-31 12:48,0.382259464263916,0.8751302083333333,0.0005,sgd,cross_entropy,1249,24,49,50,21,2237,194,148,31,72,870,91,51,132,93,2365
ResNet18,45,0,56,12,100,2019-03-31 12:53,0.36891276041666665,0.8809895833333333,0.0005,sgd,cross_entropy,1248,28,39,52,26,2246,179,137,25,67,886,79,53,124,102,2386
ResNet18,45,0,56,13,100,2019-03-31 12:58,0.3563343048095703,0.8846354166666667,0.0005,sgd,cross_entropy,1255,19,41,51,28,2270,188,134,22,56,883,83,47,120,94,2386
ResNet18,45,0,56,14,100,2019-03-31 13:02,0.34452997843424477,0.8889322916666667,0.0005,sgd,cross_entropy,1272,20,39,47,17,2261,179,124,21,60,895,84,42,124,93,2399
