model,fz_depth,data_aug,random_state,epoch,n_epoch,date,loss,acc,lr,optim,crit,pred_0_0,pred_0_1,pred_0_2,pred_0_3,pred_1_0,pred_1_1,pred_1_2,pred_1_3,pred_2_0,pred_2_1,pred_2_2,pred_2_3,pred_3_0,pred_3_1,pred_3_2,pred_3_3
ResNet18,30,0,720,1,100,2019-03-31 12:00,1.127353636686467,0.5246642561983471,0.001,sgd,cross_entropy,303,97,25,87,267,1628,560,580,10,11,16,22,662,873,460,2116
ResNet18,30,0,720,2,100,2019-03-31 12:04,0.8330604616275503,0.7172004132231405,0.001,sgd,cross_entropy,799,23,27,44,123,2208,487,399,37,12,206,21,283,366,341,2341
ResNet18,30,0,720,3,100,2019-03-31 12:09,0.6628282405128164,0.8006198347107438,0.001,sgd,cross_entropy,1034,31,33,51,53,2324,364,297,21,21,412,27,134,233,252,2430
ResNet18,30,0,720,4,100,2019-03-31 12:14,0.5518247115710551,0.8402634297520661,0.001,sgd,cross_entropy,1096,29,33,40,37,2360,287,252,29,24,575,37,80,196,166,2476
ResNet18,30,0,720,5,100,2019-03-31 12:18,0.4712216085638882,0.8646694214876033,0.001,sgd,cross_entropy,1153,20,33,44,20,2388,243,210,25,38,652,48,44,163,133,2503
ResNet18,30,0,720,6,100,2019-03-31 12:23,0.4141517828318698,0.8809400826446281,0.001,sgd,cross_entropy,1160,17,32,39,18,2415,219,179,24,39,706,46,40,138,104,2541
ResNet18,30,0,720,7,100,2019-03-31 12:28,0.36796267170551394,0.8941115702479339,0.001,sgd,cross_entropy,1191,13,35,33,8,2419,192,152,18,34,741,47,25,143,93,2573
ResNet18,30,0,720,8,100,2019-03-31 12:32,0.33062315381262913,0.9035382231404959,0.001,sgd,cross_entropy,1195,13,24,29,7,2427,167,139,20,31,789,51,20,138,81,2586
ResNet18,30,0,720,9,100,2019-03-31 12:37,0.30448371319731404,0.9085743801652892,0.001,sgd,cross_entropy,1203,8,27,33,10,2440,162,127,11,43,791,43,18,118,81,2602
ResNet18,30,0,720,10,100,2019-03-31 12:42,0.2853814432443666,0.9142561983471075,0.0005,sgd,cross_entropy,1209,14,27,27,8,2440,146,131,11,35,823,39,14,120,65,2608
