model,fz_depth,data_aug,random_state,epoch,n_epoch,date,loss,acc,lr,optim,crit,pred_0_0,pred_0_1,pred_0_2,pred_0_3,pred_1_0,pred_1_1,pred_1_2,pred_1_3,pred_2_0,pred_2_1,pred_2_2,pred_2_3,pred_3_0,pred_3_1,pred_3_2,pred_3_3
ResNet18,3,0,95,1,100,2019-03-31 11:55,1.1056034148685516,0.5329861111111112,0.001,sgd,cross_entropy,171,10,13,9,319,1905,461,738,18,46,29,17,564,866,643,2193
ResNet18,3,0,95,2,100,2019-03-31 12:00,0.7907293410528273,0.7307787698412699,0.001,sgd,cross_entropy,726,22,20,14,109,2416,418,396,19,29,216,12,218,360,492,2535
ResNet18,3,0,95,3,100,2019-03-31 12:04,0.5939979553222656,0.8141121031746031,0.001,sgd,cross_entropy,883,24,25,18,46,2546,329,254,42,53,491,40,101,204,301,2645
ResNet18,3,0,95,4,100,2019-03-31 12:09,0.4805020529126364,0.8529265873015873,0.001,sgd,cross_entropy,968,30,26,25,24,2571,268,187,27,67,651,57,53,159,201,2688
ResNet18,3,0,95,5,100,2019-03-31 12:13,0.4007966177804129,0.8771081349206349,0.001,sgd,cross_entropy,969,25,21,7,15,2600,236,147,31,66,752,51,57,136,137,2752
ResNet18,3,0,95,6,100,2019-03-31 12:18,0.35139598543681794,0.8905009920634921,0.001,sgd,cross_entropy,994,20,26,9,9,2646,205,144,26,64,800,63,43,97,115,2741
ResNet18,3,0,95,7,100,2019-03-31 12:23,0.31057339622860863,0.9031498015873016,0.001,sgd,cross_entropy,1010,16,19,14,7,2650,192,108,19,62,840,52,36,99,95,2783
ResNet18,3,0,95,8,100,2019-03-31 12:27,0.2720752897716704,0.9141865079365079,0.001,sgd,cross_entropy,1022,18,16,14,8,2669,161,97,13,54,883,48,29,86,86,2798
ResNet18,3,0,95,9,100,2019-03-31 12:32,0.24517616393074157,0.921875,0.001,sgd,cross_entropy,1025,12,13,8,5,2695,150,92,13,48,908,51,29,72,75,2806
ResNet18,3,0,95,10,100,2019-03-31 12:37,0.2276434519934276,0.9275793650793651,0.0005,sgd,cross_entropy,1020,6,19,6,6,2714,149,84,15,39,919,40,31,68,59,2827
ResNet18,3,0,95,11,100,2019-03-31 12:41,0.2124943354773143,0.9340277777777778,0.0005,sgd,cross_entropy,1031,9,16,8,5,2722,140,72,11,36,936,34,25,60,54,2843
ResNet18,3,0,95,12,100,2019-03-31 12:46,0.2028632088313027,0.9351438492063492,0.0005,sgd,cross_entropy,1026,8,12,7,4,2710,123,57,16,50,957,45,26,59,54,2848
ResNet18,3,0,95,13,100,2019-03-31 12:51,0.1946916277446444,0.9377480158730159,0.0005,sgd,cross_entropy,1031,7,16,6,2,2732,127,72,13,35,951,31,26,53,52,2848
ResNet18,3,0,95,14,100,2019-03-31 12:56,0.18782491532583084,0.941468253968254,0.0005,sgd,cross_entropy,1031,4,15,3,5,2718,105,57,9,43,982,36,27,62,44,2861
ResNet18,3,0,95,15,100,2019-03-31 13:00,0.1784290283445328,0.9451884920634921,0.0005,sgd,cross_entropy,1039,6,11,7,3,2748,111,65,11,33,978,28,19,40,46,2857
ResNet18,3,0,95,16,100,2019-03-31 13:05,0.17524772220187718,0.9476686507936508,0.0005,sgd,cross_entropy,1031,8,14,5,1,2737,91,46,14,41,997,29,26,41,44,2877
ResNet18,3,0,95,17,100,2019-03-31 13:10,0.1605437748015873,0.9487847222222222,0.0005,sgd,cross_entropy,1040,9,12,4,3,2739,88,54,11,37,1004,31,18,42,42,2868
